编号,品牌,商品名,类别,规格,份量(每次),能量(kJ/份),能量(kcal/份),蛋白质(g/份),脂肪(g/份),碳水化合物(g/份),主要活性成分(每份),备注
1,汤臣倍健,维生素C咀嚼片,维生素C,100片,1片,21,5,0,0,1.25,维生素C 100mg,国内销量第一品牌
2,汤臣倍健,维生素C泡腾片,维生素C,20片,1片,25,6,0,0,1.5,维生素C 1000mg,
3,汤臣倍健,维生素C软胶囊(高剂量),维生素C,100粒,1粒,0,0,0,0,0,维生素C 500mg,
4,Swisse,维生素C泡腾片,维生素C,60片,1片,25,6,0,0,1.5,维生素C 1000mg+锌,澳洲进口
5,Swisse,高剂量维生素C,维生素C,150片,1片,0,0,0,0,0,维生素C 1000mg,
6,自然之宝,维生素C 500mg,维生素C,100片,1片,0,0,0,0,0,维生素C 500mg,美国进口
7,自然之宝,超级维生素C 1000mg,维生素C,100片,1片,0,0,0,0,0,维生素C 1000mg+玫瑰果提取物,
8,NOW Foods,维生素C粉,维生素C,227g,1茶匙(4g),0,0,0,0,0,维生素C 4000mg,原料粉 可调节剂量
9,NOW Foods,维生素C胶囊1000mg,维生素C,250粒,1粒,0,0,0,0,0,维生素C 1000mg,
10,Nature Made,维生素C 500mg,维生素C,130片,1片,0,0,0,0,0,维生素C 500mg,美国进口
11,Nature Made,维生素C 1000mg,维生素C,100片,1片,0,0,0,0,0,维生素C 1000mg,
12,Blackmores,维生素C 500mg,维生素C,120片,1片,0,0,0,0,0,维生素C 500mg,澳洲进口
13,善存,维生素C片,维生素C,100片,1片,0,0,0,0,0,维生素C 100mg,
14,星期一,维生素C咀嚼片,维生素C,60片,1片,21,5,0,0,1.25,维生素C 200mg+锌+玫瑰果,
15,GNC,维生素C 1000mg,维生素C,100片,1片,0,0,0,0,0,维生素C 1000mg+生物类黄酮,
16,脂溶性维C,酯化维生素C,维生素C,120粒,1粒,0,0,0,0,0,酯化维生素C 500mg 不刺激肠胃,
17,Natrol,维生素C 1000mg,维生素C,100片,1片,0,0,0,0,0,维生素C 1000mg,
18,诺特兰德,维生素C片,维生素C,100片,1片,0,0,0,0,0,维生素C 100mg,
19,汤臣倍健,维生素C+E复合,维生素C/E,60粒,1粒,0,0,0,0,0,维生素C 500mg+维生素E 134mg,
20,康比特,维生素C泡腾片,维生素C,20片,1片,25,6,0,0,1.5,维生素C 1000mg,
21,汤臣倍健,维生素D3软胶囊,维生素D3,60粒,1粒,0,0,0,0,0,维生素D3 400IU(10μg),
22,汤臣倍健,维生素D3高剂量,维生素D3,60粒,1粒,0,0,0,0,0,维生素D3 2000IU(50μg),
23,Swisse,维生素D3 1000IU,维生素D3,250粒,1粒,0,0,0,0,0,维生素D3 1000IU(25μg),澳洲进口
24,Swisse,维生素D3 5000IU,维生素D3,60粒,1粒,0,0,0,0,0,维生素D3 5000IU(125μg),
25,NOW Foods,维生素D3 2000IU,维生素D3,240粒,1粒,0,0,0,0,0,维生素D3 2000IU(50μg),
26,NOW Foods,维生素D3 5000IU,维生素D3,240粒,1粒,0,0,0,0,0,维生素D3 5000IU(125μg),
27,自然之宝,维生素D3 1000IU,维生素D3,100片,1片,0,0,0,0,0,维生素D3 1000IU,
28,Nature Made,维生素D3 2000IU,维生素D3,260粒,1粒,0,0,0,0,0,维生素D3 2000IU,美国进口
29,Blackmores,维生素D3,维生素D3,60粒,1粒,0,0,0,0,0,维生素D3 1000IU,
30,善存,维生素D软胶囊,维生素D3,60粒,1粒,0,0,0,0,0,维生素D 400IU,
31,GNC,维生素D3 1000IU,维生素D3,180粒,1粒,0,0,0,0,0,维生素D3 1000IU,
32,星期一,维生素D3滴剂,维生素D3,15ml,1滴(0.5ml),0,0,0,0,0,维生素D3 400IU,液体形式 婴幼儿可用
33,康比特,维生素D3,维生素D3,90粒,1粒,0,0,0,0,0,维生素D3 2000IU,
34,诺特兰德,维生素D3片,维生素D3,100片,1片,0,0,0,0,0,维生素D3 1000IU,
35,Thorne,维生素D3液体,维生素D3,25ml,1滴(0.25ml),0,0,0,0,0,维生素D3 1000IU,高品质品牌
36,NOW Foods,D3+K2胶囊,维生素D3K2,120粒,1粒,0,0,0,0,0,维生素D3 1000IU+K2(MK-7)45mcg,
37,NOW Foods,D3+K2高剂量,维生素D3K2,120粒,1粒,0,0,0,0,0,维生素D3 5000IU+K2(MK-7)100mcg,
38,汤臣倍健,钙D3+K2软胶囊,维生素D3K2,60粒,1粒,0,0,0,0,0,维生素D3 400IU+K2 45mcg+钙200mg,
39,Swisse,D3K2复合胶囊,维生素D3K2,60粒,1粒,0,0,0,0,0,维生素D3 1000IU+K2(MK-7)75mcg,
40,Life Extension,D3+K2,维生素D3K2,60粒,1粒,0,0,0,0,0,维生素D3 5000IU+K2(MK-7)100mcg,
41,Garden of Life,有机D3+K2,维生素D3K2,30粒,1粒,0,0,0,0,0,维生素D3 2000IU+K2(MK-7)100mcg,有机来源
42,自然之宝,D3+K2,维生素D3K2,60粒,1粒,0,0,0,0,0,维生素D3 1000IU+K2 45mcg,
43,Blackmores,D3+K2,维生素D3K2,60粒,1粒,0,0,0,0,0,维生素D3 1000IU+K2 60mcg,
44,Thorne,维生素K2,维生素K2,60粒,1粒,0,0,0,0,0,维生素K2(MK-4)1mg,高剂量MK-4
45,诺特兰德,D3+K2,维生素D3K2,120粒,1粒,0,0,0,0,0,维生素D3 2000IU+K2(MK-7)100mcg,
46,汤臣倍健,维生素B族,复合B族,60片,1片,25,6,0,0,1.5,B1 1.4mg+B2 1.6mg+B6 2mg+B12 2.4μg+叶酸0.4mg,
47,汤臣倍健,维生素B12,维生素B12,60片,1片,0,0,0,0,0,维生素B12 2.4μg,
48,Swisse,复合维生素B,复合B族,60片,1片,25,6,0,0,1.5,B1+B2+B3+B5+B6+B7+B9+B12,澳洲进口
49,NOW Foods,B-100复合B族,复合B族,100粒,1粒,0,0,0,0,0,各B族维生素100mg/μg,高剂量B族
50,NOW Foods,甲基B12,维生素B12,100粒,1粒,0,0,0,0,0,甲基钴胺素1000μg,活性形式更易吸收
51,自然之宝,B复合维生素,复合B族,75片,1片,0,0,0,0,0,全谱B族,
52,Nature Made,超级B复合,复合B族,160片,1片,25,6,0,0,1.5,全谱B族,美国进口
53,GNC,B-100维生素B族,复合B族,100粒,1粒,0,0,0,0,0,各B族100mg/μg,
54,Blackmores,维生素B复合,复合B族,75片,1片,0,0,0,0,0,全谱B族,
55,星期一,活性B12甲钴胺,维生素B12,60片,1片,0,0,0,0,0,甲基钴胺素500μg,
56,诺特兰德,维生素B族复合,复合B族,100片,1片,25,6,0,0,1.5,全谱B族,
57,善存,维生素B1,维生素B1,100片,1片,0,0,0,0,0,维生素B1 10mg,
58,康比特,复合B族,复合B族,90片,1片,0,0,0,0,0,全谱B族,
59,Life Extension,BioActive B复合,复合B族,60粒,1粒,0,0,0,0,0,活性形式B族全谱,高活性辅酶型
60,Thorne,甲基B12+甲基叶酸,复合B族,60粒,1粒,0,0,0,0,0,甲基B12 1mg+甲基叶酸0.4mg,
61,善存,金善存复合维生素,综合维生素,60片,1片,21,5,0,0,1.25,全谱维生素+矿物质,
