编号,品牌,商品名,类别,容量(ml),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
1,康师傅,冰红茶,茶饮料,500,165,39,0,0,9.0,9.0,12,标准版
2,康师傅,冰红茶无糖,茶饮料,500,4,1,0,0,0,0,28,零糖版
3,康师傅,冰绿茶,茶饮料,500,155,37,0,0,9.2,9.2,15,
4,康师傅,茉莉蜜茶,茶饮料,500,148,35,0,0,8.5,8.5,15,
5,康师傅,矿物质水,饮用水,550,0,0,0,0,0,0,11,含矿物质
6,统一,冰红茶,茶饮料,500,163,39,0,0,9.2,9.2,15,
7,统一,阿萨姆奶茶原味,茶饮料,500,230,55,0.6,1.7,9.2,8.5,50,含奶
8,统一,阿萨姆奶茶无糖,茶饮料,500,25,6,0.4,0.1,0.2,0,40,无糖版
9,统一,阿萨姆奶茶高纤低糖,茶饮料,500,140,33,0.6,1.0,5.0,3.5,45,高纤维低糖版
10,统一,小茗同学冷泡茶柠檬红茶,茶饮料,480,168,40,0,0,9.8,9.8,15,
11,统一,茶π桃白茶,茶饮料,500,160,38,0,0,9.5,9.5,12,
12,统一,冰糖雪梨,果汁饮料,500,150,36,0,0,9.0,9.0,10,
13,统一,鲜橙多,果汁饮料,500,154,37,0,0,9.0,9.0,12,含10%橙汁
14,农夫山泉,东方树叶茉莉花茶,茶饮料,500,0,0,0,0,0,0,5,无糖无热量
15,农夫山泉,东方树叶红茶,茶饮料,500,0,0,0,0,0,0,5,无糖无热量
16,农夫山泉,东方树叶乌龙茶,茶饮料,500,0,0,0,0,0,0,5,无糖无热量
17,农夫山泉,东方树叶青柑普洱,茶饮料,500,0,0,0,0,0,0,5,无糖无热量
18,农夫山泉,天然矿泉水,饮用水,550,0,0,0,0,0,0,8,天然矿物质
19,农夫山泉,苏打水,苏打水,500,0,0,0,0,0,0,50,含碳酸
20,农夫山泉,水溶C100西柚汁,果汁饮料,445,163,39,0,0,9.5,9.0,15,含维C100mg/100ml
21,农夫山泉,17.5°橙,果汁饮料,330,250,60,0,0,14.0,13.0,10,NFC鲜榨
22,三得利,乌龙茶无糖,茶饮料,500,0,0,0,0,0,0,10,无糖
23,三得利,低糖乌龙茶,茶饮料,500,25,6,0,0,1.5,1.5,12,低糖版
24,三得利,茉莉乌龙茶,茶饮料,500,0,0,0,0,0,0,10,无糖
25,可口可乐,经典可乐,碳酸饮料,330,180,43,0,0,10.6,10.6,12,
26,可口可乐,零度可乐,碳酸饮料,330,4,1,0,0,0,0,18,无糖
27,可口可乐,雪碧,碳酸饮料,330,149,36,0,0,8.6,8.6,19,
28,可口可乐,雪碧无糖,碳酸饮料,330,0,0,0,0,0,0,18,无糖版
29,可口可乐,芬达橙味,碳酸饮料,330,167,40,0,0,10.0,10.0,13,
30,可口可乐,美汁源果粒橙,果汁饮料,450,167,40,0,0,9.4,9.4,22,含果粒
31,百事,百事可乐,碳酸饮料,330,175,42,0,0,10.6,10.6,12,
32,百事,百事可乐无糖,碳酸饮料,330,4,1,0,0,0,0,18,无糖版
33,百事,美年达橙味,碳酸饮料,500,176,42,0,0,10.4,10.4,15,
34,百事,七喜,碳酸饮料,330,149,36,0,0,8.5,8.5,20,
35,百事,脉动青柠味,功能饮料,600,38,9,0,0,2.5,2.5,30,含维C
36,百事,佳得乐柠檬味,运动饮料,600,102,24,0,0,6.0,6.0,43,电解质饮料
37,王老吉,凉茶,凉茶,310,155,37,0,0,9.1,9.1,0,植物草本
38,加多宝,凉茶,凉茶,310,155,37,0,0,9.0,9.0,0,植物草本
39,和其正,凉茶,凉茶,450,150,36,0,0,8.5,8.5,5,
40,元气森林,白桃味苏打气泡水,气泡水,480,0,0,0,0,3.8,0,25,赤藓糖醇非糖
41,元气森林,青瓜苏打气泡水,气泡水,480,0,0,0,0,3.8,0,25,赤藓糖醇非糖
42,元气森林,燃茶乌龙茶,茶饮料,480,25,6,0,0,0,0,15,膳食纤维饮料
43,元气森林,乳茶原味,乳茶饮料,450,250,60,0.4,1.5,10.0,8.0,40,含奶
44,元气森林,冰茶柠檬红茶,茶饮料,480,8,2,0,0,0,0,10,无糖低热量
45,元气森林,维C柠檬气泡水,气泡水,480,0,0,0,0,3.8,0,25,含维C
46,红牛,维生素功能饮料,功能饮料,250,233,56,0.1,0,13.3,13.3,37,含咖啡因牛磺酸
47,东鹏特饮,特饮,功能饮料,500,270,65,0,0,16.0,16.0,50,含咖啡因
48,达利,乐虎功能饮料,功能饮料,250,245,59,0,0,14.5,14.0,45,含咖啡因牛磺酸
49,魔爪,绿色能量饮料,功能饮料,355,205,49,0,0,12.0,12.0,55,含咖啡因
50,宝矿力水特,柠檬味,运动饮料,500,62,15,0,0,3.5,3.5,49,电解质补充
51,尖叫综合型,综合型,运动饮料,555,84,20,0,0,5.0,5.0,40,含维生素
52,外星人,电解质水,运动饮料,500,0,0,0,0,0,0,25,0糖电解质
53,娃哈哈,AD钙奶,乳饮料,220,260,62,2.0,1.5,13.0,12.5,80,含钙维D
54,娃哈哈,营养快线,乳饮料,500,290,69,1.0,1.5,14.0,13.5,90,果汁+牛奶
55,娃哈哈,格瓦斯发酵饮料,发酵饮料,500,125,30,0,0,7.0,7.0,15,面包发酵
56,娃哈哈,绿茶,茶饮料,500,154,37,0,0,9.2,9.2,12,
57,娃哈哈,冰红茶,茶饮料,500,163,39,0,0,9.2,9.2,15,
58,娃哈哈,纯净水,饮用水,596,0,0,0,0,0,0,0,纯净水
59,养乐多,原味乳酸菌饮料,乳饮料,100,268,64,1.5,0.1,14.6,14.0,55,每瓶100ml含百亿乳酸菌
60,伊利,优酸乳草莓味,乳饮料,245,280,67,2.3,1.5,12.0,11.5,75,
61,伊利,植选豆奶,植物蛋白饮料,250,200,48,3.5,1.0,6.0,5.5,55,
62,伊利,安慕希原味酸奶,酸奶饮料,205,380,91,6.0,3.0,9.5,9.0,90,高蛋白
63,蒙牛,真果粒芒果味,乳饮料,250,225,54,2.0,1.0,10.0,9.5,70,含果粒
64,蒙牛,优益C活性乳酸菌,乳饮料,330,265,63,1.5,0.5,13.0,12.5,60,含益生菌
65,光明,莫斯利安原味,乳饮料,200,280,67,2.5,2.5,9.5,9.0,85,常温酸奶
66,维他奶,原味豆奶,植物蛋白饮料,250,221,53,3.5,1.6,7.5,7.0,55,大豆饮品
67,维他奶,巧克力豆奶,植物蛋白饮料,250,280,67,3.0,2.0,11.0,10.5,80,含可可粉
